"";"CACO2";"CO115";"COLO201";"COLO205";"COLO320";"DLD1";"HCC2998";"HCT116";"HCT15";"HT29";"IS1";"IS2";"KM12";"LIM1215";"LIM2405";"LOVO";"LS174T";"RKO";"RW2982";"RW7213";"SKCO1";"SW1116";"SW403";"SW48";"SW620";"SW837";"SW948";"T84";"TC71";"VACO5"
"ABCF1";0,05152941;0,070478355;0,039985325;0,03011077;0,026113965;0,08830881;0,0335642;0,05839036;0,03143073;0,0518373;0,07351697;0,04951824;0,07630085;0,056266755;0,074393925;0,036910915;0,021631205;0,03464246;0,031659765;0,03560981;0,03456664;0,04209045;0,06096707;0,1327588975;0,060596385;0,037367975;0,040735335;0,04036327;0,084031985;0,03982457
"ABCF2";0,03947826;0,041863725;0,03926201;0,03763449;0,03329028;0,04042409;0,03736144;0,029151175;0,02998534;0,03979166;0,04088779;0,04741723;0,044993025;0,03106288;0,043439595;0,040323025;0,029921465;0,04143223;0,037166075;0,03941766;0,046661435;0,041591915;0,045634575;0,0347217075;0,03624187;0,034299505;0,03769837;0,025168045;0,03410569;0,03385683
"ABCF3";0,06775462;0,03681241;0,039699765;0,032735055;0,02619675;0,13036376;0,035150235;0,081975005;0,080550625;0,032448495;0,114716245;0,035737385;0,04896113;0,138597665;0,040325465;0,0801372;0,033355645;0,05625303;0,02473048;0,028476825;0,04560815;0,038293385;0,040292565;0,025320825;0,032679185;0,028858065;0,043426775;0,10162249;0,051509805;0,02881646
"ABCG1";0,6636633;0,82207255;0,6298372;0,57380975;0,197095835;0,73749935;0,71025945;0,8188719;0,69308095;0,48956845;0,6481778;0,43252745;0,76047755;0,67632075;0,62967925;0,5154876;0,455102085;0,58487055;0,76066415;0,65452825;0,7294131;0,46491135;0,4849282;0,832341375;0,73775765;0,49566965;0,7159232;0,512459;0,494379485;0,80782965
"ABCG2";0,056010885;0,030709495;0,13170902;0,040691825;0,7037734;0,086174205;0,109234575;0,146385665;0,070915985;0,03104116;0,66724945;0,4881691;0,04920318;0,45602585;0,0571293;0,27042448;0,084962175;0,035045705;0,03852903;0,038548655;0,06711647;0,03121829;0,06533537;0,0312093975;0,05341527;0,02892777;0,03503121;0,112787625;0,5248489;0,032281435
"ABCG4";0,186584245;0,4658089;0,30561361;0,45217458;0,35586046;0,443039465;0,2186496;0,319753725;0,342363945;0,29271135;0,41079032;0,30363272;0,452891675;0,32006262;0,123510635;0,385203195;0,1874431;0,10969261;0,24119779;0,249391105;0,34747805;0,23898604;0,42018597;0,4495455825;0,230864;0,408954975;0,28115903;0,36507506;0,47425319;0,4256717
"ABCG5";0,76728835;0,86168325;0,6743357;0,66110995;0,69651385;0,77730025;0,7442109;0,8556779;0,78100465;0,7236483;0,70826835;0,495577;0,80669335;0,75864685;0,7640608;0,57754715;0,6732535;0,80165;0,76587445;0,8863808;0,7314911;0,83486445;0,6671421;0,8679469;0,70980255;0,8315587;0,59847625;0,6456648;0,87083725;0,59251545
"ABHD1";0,05302353;0,8866533;0,04746126;0,05992025;0,4482101;0,1762646;0,0341785;0,8972966;0,04155632;0,2732081;0,08196912;0,02879681;0,7244998;0,07628056;0,05312624;0,04047131;0,05324778;0,7213203;0,05305466;0,0467756;0,03880037;0,04319836;0,06428749;0,9029513;0,0381549;0,03809099;0,0915621;0,2425523;0,196555;0,4636459
"ABHD10";0,05190971;0,060313735;0,0506579;0,045159105;0,040946685;0,055409955;0,061378015;0,040322735;0,038745125;0,05416611;0,05089067;0,05372463;0,063096265;0,05217104;0,044723865;0,05040263;0,039585925;0,07138773;0,056151195;0,04413154;0,042610235;0,043632645;0,04890031;0,06213859;0,048792065;0,0462557;0,045593495;0,03714508;0,03264418;0,03938382
"ABHD11";0,482647625;0,06108043;0,475566685;0,48462541;0,476983785;0,44771372;0,48788496;0,441875265;0,029017915;0,485661205;0,476510765;0,479549375;0,47711723;0,460120375;0,460975465;0,4733521;0,478885915;0,46902803;0,462719515;0,472746745;0,472743525;0,476263735;0,43924433;0,4778670075;0,481073285;0,473571735;0,471889055;0,440416905;0,489417905;0,46804709
