"","r (Sp)","p (Sp)","adj.Spear.Pval","distCor","SigNegCorr","cMI_min","t_opt","ratio","meth_regulated","logicSc","numericSc"
"IFNAR1",-0.316249261114499,1.43301153454622e-06,2.22854089303838e-05,0.304779106139742,FALSE,0.00032282538237818,"0.04",0.349193253659465,FALSE,FALSE,0
"IFNAR2",-0.097000766953145,0.148796189673774,0.308607745666424,0.132373630293239,FALSE,0.00384944651406062,"0.09",0.284214156697734,FALSE,FALSE,-2
"IFNG",0.0868450163089074,0.196347865563016,0.374174937166819,0.121933106943795,FALSE,0.0108419481808674,"0.59",0.598606120910226,FALSE,TRUE,7.8
"IFNGR1",0.0696215441768974,0.300629182916394,0.491991782343253,0.102378412307303,FALSE,0.000140026246968314,"0.07",0.65979584074057,FALSE,FALSE,0
"IFNGR2",-0.0583106200687609,0.386157212524649,0.575549528542238,0.137597411407584,FALSE,0.00188052106487623,"0.23",0.456438842230211,FALSE,FALSE,0
"IFNK",-0.022820888650184,0.734671886099228,0.851554787938811,0.100215104837031,FALSE,0.00459703292062037,"0.84",0.48923458804018,FALSE,FALSE,-1609.4
"IFNL1",-0.0500432848904441,0.45713552218248,0.641666293818418,0.0967831460296686,FALSE,0.00820025777476056,"0.47",0.551449122404655,FALSE,FALSE,-16
"IFNLR1",-0.273170721150285,3.54476746196042e-05,0.000397111203417284,0.38961286796523,FALSE,0.00486048756403541,"0.28",0.146673491820758,FALSE,FALSE,0
"IFNW1",0.0310725659580038,0.644428351908182,0.787694049387562,0.105823795025569,FALSE,0.00817319726782604,"0.46",0.331010287093303,FALSE,FALSE,-112.6
"IFRD1",0.14853460554673,0.0265584537364534,0.0890925021756723,0.183726595929061,FALSE,0.0106771305951098,"0.41",0.515569319959131,FALSE,FALSE,-1189.8
"IFRD2",-0.0234300731026539,0.727864918934406,0.846810766195919,0.0944851086754978,FALSE,9.53157250655163e-05,"0.02",0.626589752785411,FALSE,FALSE,0
"IFT122",-0.0115110724072361,0.864273626124322,0.929235105585551,0.099749872847338,FALSE,9.49354469250355e-05,"0.03",0.336067134749749,FALSE,FALSE,0
